PUID,sg,trawl,sewage,farms,settle
744,0.05,0,0,0,50
745,0,0,0,0,50
746,0,0,0,0,50
747,0,0,0,0,171
748,0.05,0,0,0,171
749,0.05,0,0,0,17.85496385
750,0,2,0,0,0.488269697
751,0,0,0,0,21.01180938
752,0.05,0,0,0,17.62042949
753,0,5,0,0,0.022096479
754,0,7,0,0,0.196803238
755,0.05,6,0,0,194
756,0,1,0,0,194
757,0,0,0,0,226
758,0,0,0,0,181
759,0,0,0,0,7548
760,0,0,0,0,7548
761,0,0,0,0,7548
762,0,4,0,0,1.59284051
763,0,0,0,0,7.23E-05
764,0,0,0,0,435
765,0.05,0,0,0,435
766,0,0,0,0,435
767,0,0,0,0,435
768,0,0,0,0,220
769,0.05,0,0,0,956
770,0,0,0,0,0.108729396
771,0,0,0,0,7.27E-12
772,0,0,0,0,1.10E-07
773,0.05,0,0,0,0.001625916
774,0.35,0,0,0,21.90089875
775,0.15,0,0,0,262
776,0,0,0,0,262
777,0,0,0,0,443
778,0,0,0,0,1223
779,0.05,2,0,0,184.1145389
780,0,0,0,0,0.112042112
781,0,0,0,0,0.334453363
782,0,0,0,0,354
783,0,0,0,0,354
784,0,0,0,0,354
785,0.05,0,0,0,1826
786,0.05,0,0,0,1826
787,0.05,0,0,0,1.251228283
788,0.05,0,0,0,50
789,0.05,0,0,0,171
790,0,0,0,0,171
791,0,0,0,0,171
792,0,0,0,0,171
793,0.05,0,0,0,171
794,0,0,0,0,171
795,0,2,0,0,10.59331514
796,0,14,0,0,1826
797,0,5,0,0,1826
798,0,2,0,0,1826
799,0,3,0,0,1280.5125
800,0,3,0,0,3.266294755
801,0,9,0,0,1.428527348
802,0.05,3,0,0,117.6074236
803,0,1,0,0,226
804,0.05,0,0,0,226
805,0,0,0,0,226
806,0,0,0,0,539
807,0,0,0,0,539
808,0,0,0,0,7548
809,0,0,0,0,7548
810,0,0,0,0,7548
811,0,0,0,0,1.575035093
812,0,0,0,0,7.19E-05
813,0.05,0,0,0,8.67E-11
814,0.05,0,0,0,1.60E-06
815,0.35,0,0,0,0.027972193
816,0.15,0,0,0,159
817,0,0,0,0,170
818,0,0,0,0,545
819,0,1,0,0,443
820,0,1,0,0,443
821,0.05,5,0,0,71.12368363
822,0,15,0,0,4.003222933
823,0,23,0,0,0.566731713
824,0,0,0,0,73.96178439
825,0.05,0,0,0,354
826,0,0,0,0,354
827,0,0,0,0,1826
828,0,0,0,0,1826
829,0,0,0,0,1826
830,0.05,0,0,0,40.82186869
831,0,0,0,0,0.025946889
832,0,0,0,0,6.990166064
833,0,0,0,0,97.0592652
834,0.05,0,0,0,171
835,0.05,0,0,0,171
836,0,4,0,0,63.20873834
